Pertanyaan;Jawaban
Apa itu aktuaria? Mengapa perhitungan aktuaria tersebut dibutuhkan?;"Aktuaria adalah ilmu yang menggabungkan matematika, statistik, dan keuangan untuk mengelola risiko, terutama dalam imbalan kerja, asuransi, dan investasi jangka panjang. Perhitungan aktuaria digunakan untuk mengestimasi dan mencatat kewajiban perusahaan terkait manfaat karyawan, seperti pesangon dan pensiun, sesuai standar akuntansi seperti PSAK 219.

Hasil perhitungan aktuaria tidak wajib dilaporkan langsung ke OJK atau Dinas Ketenagakerjaan, kecuali bagi perusahaan di bawah regulasi tertentu seperti asuransi dan dana pensiun. Namun, bagi perusahaan yang diawasi OJK, laporan aktuaria sering menjadi bagian dari audit keuangan tahunan.

Untuk memastikan kepatuhan terhadap aturan ketenagakerjaan, perusahaan juga perlu merujuk pada PP No. 35 Tahun 2021, yang mengatur kompensasi bagi karyawan PKWT dan PKWTT. Meskipun laporan aktuaria tidak wajib diserahkan ke regulator, hasilnya sangat penting untuk audit, pengambilan keputusan keuangan, dan perencanaan dana imbalan kerja."
Siapa yg berhak atau boleh sesuai peraturan untuk menyusun dan membuat laporan aktuaria?;"Pihak yang berhak membuat laporan aktuaria, antara lain:

1. Aktuaris Publik 
Hanya aktuaris yang memiliki gelar FSAI (Fellow of the Society of Actuaries of Indonesia) dari Persatuan Aktuaris Indonesia (PAI) dan memperoleh sertifikasi Aktuaris Publik dari Kementerian Keuangan yang berhak menyusun dan menandatangani laporan aktuaria.
Untuk sektor Industri Keuangan Non-Bank (IKNB) seperti asuransi dan dana pensiun, penyusunan laporan aktuaria harus dilakukan oleh aktuaris publik yang juga memiliki Surat Tanda Terdaftar (STTD) dari Otoritas Jasa Keuangan (OJK) sesuai regulasi yang berlaku.

2. Kantor Konsultan Aktuaria (KKA) yang Terdaftar
Perusahaan yang membutuhkan laporan aktuaria, terutama untuk kepentingan audit PSAK 219 atau perhitungan kewajiban imbalan kerja, harus menggunakan jasa Kantor Konsultan Aktuaria (KKA) yang memiliki aktuaris publik dan terdaftar di Asosiasi Kantor Konsultan Aktuaria Indonesia (AKKAI)."
Bagaimana jika perusahaan belum memiliki peraturan perusahaan yang mencakup besaran imbalan kerja karyawan?;Apabila tidak ada PP, maka besaran imbalan mengacu ke undang-undang terbaru yang berlaku, seperti UU Cipta Kerja untuk saat ini.
Bagaimana jika realisasi yang dibayarkan berbeda dengan yang telah dicadangkan?;Realisasi dapat berpedoman pada undang-undang yang berlaku atau PP jika ada. Tidak masalah jika besaran yang dibayarkan berbeda dari yang dicadangkan karena akan terkoreksi pada laporan berikutnya.
Apa perbedaan PSAK 219 dan SAK ETAP?;"PSAK 219 digunakan oleh perusahaan yang wajib menyusun laporan keuangan untuk kepentingan publik, seperti perusahaan terbuka atau entitas yang berada di bawah pengawasan regulator. Sementara itu, SAK ETAP ditujukan untuk entitas kecil dan menengah yang tidak diwajibkan melaporkan laporan keuangannya ke publik.

Dalam SAK ETAP, perusahaan memiliki pilihan untuk mengakui keuntungan atau kerugian aktuaria:
• langsung diakui dalam laba rugi tahun berjalan, atau
• dicatat di penghasilan komprehensif lain (OCI).
Sedangkan dalam PSAK 219, keuntungan atau kerugian aktuaria hanya dapat diakui melalui OCI."
Apa perbedaan UUK dan UUCK?;"1. UUK (Undang-Undang Ketenagakerjaan No. 13 Tahun 2003):
  • Nilai Manfaat Pensiun Maksimal 32,2 x Gaji
  • Faktor Manfaat Imbalan Kerja lebih tinggi dari UUCK
  • Ada nilai Uang Penggantian Hak = 15% x (Pesangon+Penghargaan Masa Kerja)
  • Tidak ada perhitungan Kompensasi untuk Karyawan Kontrak/PKWT

2. UUCK (Undang-Undang Cipta Kerja No. 11 Tahun 2020 dan aturan turunannya, PP No. 35 Tahun 2021):
  • Nilai Manfaat Pensiun Maksimal 25,75 x Gaji
  • Faktor Manfaat Imbalan Kerja lebih rendah dari UUK
  • Tidak ada nilai Uang Penggantian Hak = 15% x (Pesangon+Penghargaan Masa Kerja)
  • Ada perhitungan Kompensasi untuk Karyawan Kontrak/PKWT

Hingga saat ini, kedua UU tersebut masih menjadi landasan pokok dalam perhitungan imbalan kerja sesuai PSAK 219. Perbedaan utama terletak pada besaran manfaat yang diberikan. "
Apa itu IFRIC? Perbedaannya dengan IAS?;"IFRIC (yang dulunya IFRS), adalah aturan yang memberikan panduan lebih rinci dalam mengalokasikan imbalan pasca kerja, seperti pensiun. Dengan aturan ini, cadangan pensiun mulai dihitung 24 tahun sebelum usia pensiun seperti yang dibahas dalam Bab 1.

Penerapan IFRIC mengurangi nilai kewajiban imbalan kerja dibandingkan sebelumnya, yang berdampak pada laporan keuangan perusahaan. Keuntungan dari perubahan ini langsung diakui dalam beban imbalan pasca kerja tahun berjalan. Selain itu, IFRIC 14 menjelaskan batas pengakuan aset dari surplus dana pensiun di IAS 19. IAS 19 mengatur metode perhitungan liabilitas imbalan kerja, asumsi aktuaria, dan lainnya.

Intinya:
• IAS 19 = Standar utama untuk mengatur akuntansi imbalan kerja.
• IFRIC = Penafsiran tambahan untuk menjawab pertanyaan atau situasi yang tidak dijelaskan secara rinci di IAS/IFRS."
Jika perusahaan memiliki PP (Peraturan Perusahaan), apakah mengacu kepada PP atau UU?;Umumnya, dapat dilihat dari apakah PP tersebut mengacu pada UUCK atau UUK. Jika tidak tersirat, perbandingan manfaat-manfaatnya dapat dilakukan. Jika manfaat dari PP lebih kecil dari UU, maka perhitungan akan mengikuti UU.
Apa perbedaan SAK EP dan SAK ETAP?;"SAK EP (Standar Akuntansi Keuangan Entitas Privat):
  • Berlaku mulai 1 Januari 2025 sebagai pengganti SAK ETAP.
  • Disusun berdasarkan IFRS for SMEs versi 2015, namun sudah diadopsi penuh dan diterjemahkan oleh IAI.
  • Perusahaan masih diberikan pilihan dalam mengakui keuntungan/kerugian aktuarial: langsung diakui dalam laba rugi tahun berjalan, atau dicatat di penghasilan komprehensif lain (OCI).
  • Lebih komprehensif dan sistematis, mencakup penilaian kewajiban manfaat pasca kerja dengan metode aktuaria projected unit credit.
  • Memberikan opsi yang lebih fleksibel untuk entitas privat dalam menyusun laporan keuangan secara sederhana namun sesuai standar internasional.

SAK ETAP (Entitas Tanpa Akuntabilitas Publik):
  • Diterbitkan pada tahun 2009, disusun untuk entitas skala kecil-menengah yang tidak memiliki akuntabilitas publik dan tidak menerbitkan laporan keuangan untuk umum.
  • Perusahaan diberikan pilihan dalam mengakui keuntungan/kerugian aktuarial: langsung diakui dalam laba rugi tahun berjalan, atau dicatat di penghasilan komprehensif lain (OCI).
  • Pendekatan lebih sederhana, contohnya:
    1. Imbalan pasca kerja dihitung tanpa metode aktuaria (cukup dengan estimasi sederhana).
    2. Instrumen keuangan tidak perlu dinilai dengan nilai wajar secara kompleks.
  • Akan digantikan sepenuhnya oleh SAK EP mulai 2025."
Apakah boleh pakai SAK ETAP di tahun 2023 dan mulai pakai SAK EP di 2024?;"SAK ETAP masih boleh digunakan hingga akhir tahun 2024. SAK EP secara efektif berlaku untuk periode tahun buku yang dimulai 1 Januari 2025.

Namun, early adoption (penerapan dini) SAK EP sudah diperbolehkan sejak beberapa tahun terakhir.
• Jadi jika entitas sudah menggunakan SAK EP di 2024, itu sah.
• Tapi jika masih pakai ETAP di 2023 dan 2024, juga masih diperbolehkan."
Apakah Direksi berhak atas pesangon?;Berdasarkan Pasal 15 UU No. 40 Tahun 2007, direksi berbeda dengan karyawan. Direksi umumnya memiliki perjanjian kerja/kontrak sendiri yang mengatur mengenai manfaat yang akan diterima setelah jabatan selesai. Umumnya cadangannya dicatat sebagai manajemen kunci di laporan keuangan.
Apakah Direksi bertanggung jawab terhadap pengelolaan imbalan kerja?;Ya, sesuai dengan Pasal 15 UU No. 40 Tahun 2007, Direksi adalah organ Perseroan yang bertanggung jawab penuh atas pengurusan Perseroan, termasuk dalam hal pengelolaan imbalan kerja. Ini berarti Direksi harus memastikan bahwa perusahaan memenuhi semua kewajiban hukum terkait imbalan kerja, baik untuk pekerja lokal maupun TKA, termasuk memastikan bahwa perhitungan dan pelaporan aktuaria dilakukan secara akurat dan sesuai dengan standar yang berlaku.
